Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
52320,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52380,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52440,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52500,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52560,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52620,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52680,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52740,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52800,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52860,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52920,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
52980,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53040,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53100,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53160,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53220,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53280,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53340,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53400,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53460,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53520,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
53940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54720,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54780,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54840,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54900,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
54960,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55020,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55080,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55140,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55200,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55260,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55320,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55380,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55440,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55500,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55560,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55620,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55680,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55740,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55800,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55860,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55920,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
55980,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56040,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56100,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56160,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56220,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56280,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56340,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56400,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56460,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56520,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
56940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57720,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57780,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57840,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57900,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
57960,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58020,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58080,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58140,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58200,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58260,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58320,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58380,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58440,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58500,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
