Time,x,y,resources,capacity,ports_filled,buy_prem,sell_prem
31620,-34849.419087871094,3243.145008936278,138.999999999995,300.0,0,1,1
31680,-34867.598035381096,3041.4811447962716,138.97916666666165,300.0,0,1,1
31740,-34884.610020223605,2839.7154871531643,138.9583333333283,300.0,0,1,1
31800,-34900.45447303475,2637.854788780352,138.93749999999497,300.0,0,1,1
31860,-34915.130863526065,2435.905805632141,138.91666666666163,300.0,0,1,1
31920,-34928.63870050227,2233.875296617615,138.89583333332828,300.0,0,1,1
31980,-34940.977531877674,2031.7700233743694,138.87499999999494,300.0,0,1,1
32040,-34952.14694469136,1829.596750042192,138.8541666666616,300.0,0,1,1
32100,-34962.14656512099,1627.3622430368164,138.83333333332826,300.0,0,1,1
32160,-34970.97605849525,1425.073270823292,138.8124999999949,300.0,0,1,1
32220,-34978.63512930515,1222.7366036895942,138.79166666666157,300.0,0,1,1
32280,-34985.12352121386,1020.3590135199242,138.77083333332823,300.0,0,1,1
32340,-34990.4410170653,817.9472735681119,138.74999999999488,300.0,0,1,1
32400,-34994.587438891365,615.5081582309865,138.72916666666154,300.0,0,1,1
32460,-34997.56264791801,413.048442821481,138.7083333333282,300.0,0,1,1
32520,-34999.366544569704,210.57490334208663,138.68749999999486,300.0,0,1,1
32580,-34999.99906847294,8.094316257902864,138.6666666666615,300.0,0,1,1
32640,-34999.46019845816,-194.38654173006785,138.64583333332817,300.0,0,1,1
32700,-34997.749952560465,-396.86089391181844,138.62499999999483,300.0,0,1,1
32760,-34994.86838801906,-599.321963795019,138.60416666666148,300.0,0,1,1
32820,-34990.81560127529,-801.7629753318295,138.58333333332814,300.0,0,1,1
32880,-34985.591727969426,-1004.1771531458558,138.5624999999948,300.0,0,1,1
32940,-34979.196942936156,-1206.5577227587069,138.54166666666146,300.0,0,1,1
33000,-34971.631460198696,-1408.8979108168369,138.5208333333281,300.0,0,1,1
33060,-34962.89553296162,-1611.1909453181418,138.49999999999477,300.0,0,1,1
33120,-34952.989453602444,-1813.4300558387822,138.47916666666143,300.0,0,1,1
33180,-34941.91355366176,-2015.6084737595581,138.45833333332808,300.0,0,1,1
33240,-34929.668203832225,-2217.7194324926163,138.43749999999474,300.0,0,1,1
33300,-34916.25381394606,-2419.7561677078234,138.4166666666614,300.0,0,1,1
33360,-34901.670832961434,-2621.7119175592507,138.39583333332806,300.0,0,1,1
33420,-34885.91974894735,-2823.579922911357,138.3749999999947,300.0,0,1,1
33480,-34869.00108906738,-3025.353427565223,138.35416666666137,300.0,0,1,1
33540,-34850.91541956197,-3227.0256784848384,138.33333333332803,300.0,0,1,1
33600,-34831.66334572952,-3428.589926022921,138.31249999999469,300.0,0,1,1
33660,-34811.24551190609,-3630.039424146916,138.29166666666134,300.0,0,1,1
33720,-34789.6626014439,-3831.3674306646853,138.270833333328,300.0,0,1,1
33780,-34766.9153366884,-4032.5672074503304,138.24999999999466,300.0,0,1,1
33840,-34743.0044789541,-4233.632020669485,138.2291666666613,300.0,0,1,1
33900,-34717.93082849913,-4434.555141004866,138.20833333332797,300.0,0,1,1
33960,-34691.6952244984,-4635.329843881415,138.18749999999463,300.0,0,1,1
34020,-34664.29854501557,-4835.949409691331,138.16666666666129,300.0,0,1,1
34080,-34635.74170697363,-5036.407124019059,138.14583333332794,300.0,0,1,1
34140,-34606.02566612423,-5236.696277865876,138.1249999999946,300.0,0,1,1
34200,-34575.15141701563,-5436.810167874602,138.10416666666126,300.0,0,1,1
34260,-34543.11999295954,-5636.742096553811,138.08333333332791,300.0,0,1,1
34320,-34509.932465996404,-5836.485372502003,138.06249999999457,300.0,0,1,1
34380,-34475.589946859625,-6036.03331063161,138.04166666666123,300.0,0,1,1
34440,-34440.093584938295,-6235.379232392755,138.0208333333279,300.0,0,1,1
34500,-34403.444568238825,-6434.516465996633,137.99999999999454,300.0,0,1,1
34560,-34365.64412334508,-6633.438346638972,137.9791666666612,300.0,0,1,1
34620,-34326.693515377454,-6832.138216722967,137.95833333332786,300.0,0,1,1
34680,-34286.5940479504,-7030.609426082183,137.93749999999451,300.0,0,1,1
34740,-34245.34706312885,-7228.845332203103,137.91666666666117,300.0,0,1,1
34800,-34202.953941383385,-7426.839300447368,137.89583333332783,300.0,0,1,1
34860,-34159.41610154386,-7624.5847042740015,137.8749999999945,300.0,0,1,1
34920,-34114.73500075206,-7822.074925460968,137.85416666666114,300.0,0,1,1
34980,-34068.91213441288,-8019.303354326853,137.8333333333278,300.0,0,1,1
35040,-34021.949036144266,-8216.263389951975,137.81249999999446,300.0,0,1,1
35100,-33973.84727772591,-8412.94844039942,137.79166666666111,300.0,0,1,1
35160,-33924.60846904662,-8609.351922935499,137.77083333332777,300.0,0,1,1
35220,-33874.2342580505,-8805.467264250132,137.74999999999443,300.0,0,1,1
35280,-33822.726330681704,-9001.28790067698,137.7291666666611,300.0,0,1,1
35340,-33770.086410828066,-9196.807278412914,137.70833333332774,300.0,0,1,1
35400,-33716.316260263404,-9392.01885373749,137.6874999999944,300.0,0,1,1
35460,-33661.417678588565,-9586.91609323187,137.66666666666106,300.0,0,1,1
35520,-33605.39250317113,-9781.492473997614,137.64583333332772,300.0,0,1,1
35580,-33548.24260908403,-9975.741483874828,137.62499999999437,300.0,0,1,1
35640,-33489.969909042695,-10169.65662166024,137.60416666666103,300.0,0,1,1
35700,-33430.57635334106,-10363.23139732472,137.5833333333277,300.0,0,1,1
35760,-33370.0639297863,-10556.45933223057,137.56249999999434,300.0,0,1,1
35820,-33308.43466363235,-10749.333959348247,137.541666666661,300.0,0,1,1
35880,-33245.69061751207,-10941.848823472794,137.52083333332766,300.0,0,1,1
