Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,Buy_price,Sell_price
714480,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714540,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714600,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714660,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714720,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714780,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714840,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714900,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
714960,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715020,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715080,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715140,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715200,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715260,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715320,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715380,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715440,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715500,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715560,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715620,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715680,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715740,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715800,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715860,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715920,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
715980,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716040,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716100,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716160,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716220,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
